symbol,market,signal_date,close,status,status_rank,setup,regime,wyckoff,trigger,direction,zs_zd,zs_zg,entry_price,sl,tp1,tp2,name,sector,notes,engine_version
002463,HS300,2026-09-22,125.14,WATCH,1,NONE,Bull Trend,Neutral,Waiting,,125.13,125.32,,,,,沪电股份,nan,,1.8.5-source-port
002493,HS300,2026-09-22,13.13,WATCH,1,NONE,Bull Trend,Neutral,Waiting,,12.65,12.69,,,,,荣盛石化,nan,,1.8.5-source-port
002532,HS300,2026-09-22,12.64,WATCH,1,NONE,Bearish Zhongshu,Neutral,Waiting,,12.52,13.24,,,,,天山铝业,nan,,1.8.5-source-port
002600,HS300,2026-09-22,12.65,WATCH,1,NONE,Bull Trend,Neutral,Waiting,,12.46,12.78,,,,,领益智造,nan,,1.8.5-source-port
002602,HS300,2026-09-22,14.62,WATCH,1,NONE,Bull Trend,Neutral,Waiting,,14.26,14.84,,,,,世纪华通,nan,,1.8.5-source-port
002625,HS300,2026-09-22,27.45,WATCH,1,NONE,Bearish Zhongshu,Neutral,Waiting,,27.02,28.86,,,,,光启技术,nan,,1.8.5-source-port
002648,HS300,2026-09-22,26.96,WATCH,1,NONE,Bull Trend,Neutral,Waiting,,22.2,24.47,,,,,卫星化学,nan,,1.8.5-source-port
002916,HS300,2026-09-22,400.0,WATCH,1,NONE,Bull Trend,Neutral,Waiting,,350.0,388.18,,,,,深南电路,nan,,1.8.5-source-port
002938,HS300,2026-09-22,89.25,WATCH,1,NONE,Bearish Zhongshu,Neutral,Waiting,,87.45,94.52,,,,,鹏鼎控股,nan,,1.8.5-source-port
003816,HS300,2026-09-22,4.2,WATCH,1,NONE,Bull Trend,Neutral,Bear Micro BOS,,4.04,4.2,,,,,中国广核,nan,,1.8.5-source-port
300015,HS300,2026-09-22,8.07,WATCH,1,NONE,Bearish Zhongshu,Neutral,Waiting,,8.6,8.6,,,,,爱尔眼科,nan,,1.8.5-source-port
300122,HS300,2026-09-22,13.35,WATCH,1,NONE,Bull Trend,Neutral,Waiting,,13.11,13.56,,,,,智飞生物,nan,,1.8.5-source-port
300251,HS300,2026-09-22,11.23,WATCH,1,NONE,Bearish Zhongshu,Accumulation,Waiting,,11.4,11.98,,,,,光线传媒,nan,,1.8.5-source-port
300316,HS300,2026-09-22,41.39,WATCH,1,NONE,Neutral Zhongshu,Neutral,Waiting,,38.5,42.99,,,,,晶盛机电,nan,,1.8.5-source-port
300408,HS300,2026-09-22,129.48,WATCH,1,NONE,Bull Trend,Neutral,Waiting,,108.69,115.49,,,,,三环集团,nan,,1.8.5-source-port
300418,HS300,2026-09-22,44.73,WATCH,1,NONE,Bull Trend,Distribution,Waiting,,42.16,45.1,,,,,昆仑万维,nan,,1.8.5-source-port
300433,HS300,2026-09-22,34.44,WATCH,1,NONE,Bearish Zhongshu,Neutral,Waiting,,38.12,39.22,,,,,蓝思科技,nan,,1.8.5-source-port
300628,HS300,2026-09-22,41.74,WATCH,1,NONE,Bullish Zhongshu,Neutral,Waiting,,38.92,40.33,,,,,亿联网络,nan,,1.8.5-source-port
300661,HS300,2026-09-22,121.68,WATCH,1,NONE,Bullish Zhongshu,Neutral,Waiting,,108.36,116.16,,,,,圣邦股份,nan,,1.8.5-source-port
300760,HS300,2026-09-22,156.68,WATCH,1,NONE,Bull Trend,Neutral,Bear Micro BOS,,156.01,160.73,,,,,迈瑞医疗,nan,,1.8.5-source-port
300803,HS300,2026-09-22,57.86,WATCH,1,NONE,Bullish Zhongshu,Neutral,Waiting,,54.04,58.57,,,,,指南针,nan,,1.8.5-source-port
300999,HS300,2026-09-22,25.12,WATCH,1,NONE,Bearish Zhongshu,Neutral,Waiting,,25.68,26.63,,,,,金龙鱼,nan,,1.8.5-source-port
301308,HS300,2026-09-22,348.27,WATCH,1,NONE,Bearish Zhongshu,Neutral,Waiting,,373.6,442.0,,,,,江波龙,nan,,1.8.5-source-port
302132,HS300,2026-09-22,59.95,WATCH,1,NONE,Bull Trend,Neutral,Waiting,,58.68,59.6,,,,,中航成飞,nan,,1.8.5-source-port
600015,HS300,2026-09-22,6.24,WATCH,1,NONE,Bearish Zhongshu,Neutral,Waiting,,6.19,6.45,,,,,华夏银行,nan,,1.8.5-source-port
600016,HS300,2026-09-22,3.5,WATCH,1,NONE,Bull Trend,Neutral,Waiting,,3.3,3.39,,,,,民生银行,nan,,1.8.5-source-port
600018,HS300,2026-09-22,5.36,WATCH,1,NONE,Bull Trend,Neutral,Bear Micro BOS,,5.05,5.29,,,,,上港集团,nan,,1.8.5-source-port
600019,HS300,2026-09-22,5.73,WATCH,1,NONE,Bullish Zhongshu,Neutral,Waiting,,5.65,5.76,,,,,宝钢股份,nan,,1.8.5-source-port
600025,HS300,2026-09-22,9.62,WATCH,1,NONE,Bearish Zhongshu,Neutral,Waiting,,9.66,9.73,,,,,华能水电,nan,,1.8.5-source-port
600027,HS300,2026-09-22,4.8,WATCH,1,NONE,Bull Trend,Neutral,Waiting,,4.51,4.54,,,,,华电国际,nan,,1.8.5-source-port
600028,HS300,2026-09-22,5.31,WATCH,1,NONE,Bull Trend,Neutral,Waiting,,5.09,5.33,,,,,中国石化,nan,,1.8.5-source-port
600031,HS300,2026-09-22,17.72,WATCH,1,NONE,Bearish Zhongshu,Neutral,Waiting,,19.72,19.8,,,,,三一重工,nan,,1.8.5-source-port
600039,HS300,2026-09-22,8.77,WATCH,1,NONE,Bull Trend,Neutral,Waiting,,8.63,9.1,,,,,四川路桥,nan,,1.8.5-source-port
600050,HS300,2026-09-22,4.21,WATCH,1,NONE,Bearish Zhongshu,Neutral,Waiting,,4.27,4.29,,,,,中国联通,nan,,1.8.5-source-port
600061,HS300,2026-09-22,6.34,WATCH,1,NONE,Bearish Zhongshu,Neutral,Waiting,,6.42,6.45,,,,,国投资本,nan,,1.8.5-source-port
600104,HS300,2026-09-22,11.07,WATCH,1,NONE,Bull Trend,Neutral,Waiting,,11.01,11.1,,,,,上汽集团,nan,,1.8.5-source-port
600118,HS300,2026-09-22,58.82,WATCH,1,NONE,Neutral Zhongshu,Neutral,Waiting,,56.65,60.12,,,,,中国卫星,nan,,1.8.5-source-port
600176,HS300,2026-09-22,45.47,WATCH,1,NONE,Bullish Zhongshu,Neutral,Waiting,,41.5,43.98,,,,,中国巨石,nan,,1.8.5-source-port
600183,HS300,2026-09-22,143.45,WATCH,1,NONE,Bull Trend,Neutral,Waiting,,126.0,143.48,,,,,生益科技,nan,,1.8.5-source-port
600196,HS300,2026-09-22,23.13,WATCH,1,NONE,Bearish Zhongshu,Neutral,Bull Micro BOS,,23.57,24.75,,,,,复星医药,nan,,1.8.5-source-port
600219,HS300,2026-09-22,4.75,WATCH,1,NONE,Bullish Zhongshu,Neutral,Waiting,,4.62,4.77,,,,,南山铝业,nan,,1.8.5-source-port
600233,HS300,2026-09-22,17.69,WATCH,1,NONE,Bullish Zhongshu,Neutral,Waiting,,17.03,17.38,,,,,圆通速递,nan,,1.8.5-source-port
600346,HS300,2026-09-22,16.54,WATCH,1,NONE,Bull Trend,Neutral,Waiting,,16.07,16.71,,,,,恒力石化,nan,,1.8.5-source-port
600362,HS300,2026-09-22,45.1,WATCH,1,NONE,Bullish Zhongshu,Accumulation,Waiting,,43.78,44.24,,,,,江西铜业,nan,,1.8.5-source-port
600406,HS300,2026-09-22,22.23,WATCH,1,NONE,Bull Trend,Accumulation,Waiting,,23.16,23.3,,,,,国电南瑞,nan,,1.8.5-source-port
600415,HS300,2026-09-22,11.85,WATCH,1,NONE,Bull Trend,Neutral,Waiting,,12.38,12.75,,,,,小商品城,nan,,1.8.5-source-port
600438,HS300,2026-09-22,11.72,WATCH,1,NONE,Bearish Zhongshu,Neutral,Waiting,,12.69,13.0,,,,,通威股份,nan,,1.8.5-source-port
600460,HS300,2026-09-22,33.4,WATCH,1,NONE,Bullish Zhongshu,Neutral,Waiting,,31.74,33.92,,,,,士兰微,nan,,1.8.5-source-port
600482,HS300,2026-09-22,35.34,WATCH,1,NONE,Bull Trend,Neutral,Waiting,,31.41,33.58,,,,,中国动力,nan,,1.8.5-source-port
600489,HS300,2026-09-22,23.47,WATCH,1,NONE,Bearish Zhongshu,Neutral,Waiting,,24.93,26.7,,,,,中金黄金,nan,,1.8.5-source-port
600584,HS300,2026-09-22,72.24,WATCH,1,NONE,Neutral Zhongshu,Neutral,Waiting,,71.06,74.0,,,,,长电科技,nan,,1.8.5-source-port
600674,HS300,2026-09-22,15.93,WATCH,1,NONE,Bull Trend,Neutral,Waiting,,14.81,15.3,,,,,川投能源,nan,,1.8.5-source-port
600795,HS300,2026-09-22,5.19,WATCH,1,NONE,Bearish Zhongshu,Neutral,Waiting,,5.18,5.35,,,,,国电电力,nan,,1.8.5-source-port
