symbol,market,signal_date,close,status,status_rank,setup,regime,wyckoff,trigger,direction,zs_zd,zs_zg,entry_price,sl,tp1,tp2,name,sector,notes,engine_version,previous_status,current_status,change_type
001280,HS300,2026-09-08,65.7,WATCH,1,NONE,Bearish Zhongshu,Neutral,Bear Micro BOS,,66.4,66.98,,,,,中国铀业,nan,,1.8.5-source-port,READY,WATCH,READY_TO_WATCH
001391,HS300,2026-09-08,4.17,WATCH,1,NONE,Bearish Zhongshu,Neutral,Bull Micro BOS,,4.16,4.19,,,,,国货航,nan,,1.8.5-source-port,WATCH,WATCH,UNCHANGED
002028,HS300,2026-09-08,139.45,WATCH,1,NONE,Bearish Zhongshu,Neutral,Waiting,,169.28,170.5,,,,,思源电气,nan,,1.8.5-source-port,WATCH,WATCH,UNCHANGED
002049,HS300,2026-09-08,61.43,WATCH,1,NONE,Neutral Zhongshu,Neutral,Bear Micro BOS,,60.2,63.21,,,,,紫光国微,nan,,1.8.5-source-port,READY,WATCH,READY_TO_WATCH
002142,HS300,2026-09-08,34.66,WATCH,1,NONE,Bull Trend,Neutral,Waiting,,31.4,32.26,,,,,宁波银行,nan,,1.8.5-source-port,WATCH,WATCH,UNCHANGED
002179,HS300,2026-09-08,34.01,WATCH,1,NONE,Bearish Zhongshu,Neutral,Waiting,,34.79,34.88,,,,,中航光电,nan,,1.8.5-source-port,WATCH,WATCH,UNCHANGED
002202,HS300,2026-09-08,17.75,WATCH,1,NONE,Bearish Zhongshu,Neutral,Waiting,,20.6,21.9,,,,,金风科技,nan,,1.8.5-source-port,WATCH,WATCH,UNCHANGED
002241,HS300,2026-09-08,23.68,WATCH,1,NONE,Bull Trend,Neutral,Waiting,,23.25,23.87,,,,,歌尔股份,nan,,1.8.5-source-port,WATCH,WATCH,UNCHANGED
002371,HS300,2026-09-08,647.87,WATCH,1,NONE,Bearish Zhongshu,Neutral,Waiting,,669.01,687.04,,,,,北方华创,nan,,1.8.5-source-port,WATCH,WATCH,UNCHANGED
002422,HS300,2026-09-08,40.76,WATCH,1,NONE,Bearish Zhongshu,Neutral,Waiting,,41.0,48.18,,,,,科伦药业,nan,,1.8.5-source-port,WATCH,WATCH,UNCHANGED
